StateA,State,District,Year,Dcandidate,Rcandidate,Ocandidate,Dpercent,Rpercent,Opercent,IncumbentParty,Winner,Margin,IncOverPerformance,P2024,P2020,P2016,P2012,P2008,P2004,P2000,Evs,Redistricted,Polls,Chance,Median
AZ,Arizona,C1,2006,Jon Kyl,Jim Pederson,,43.5,53.3,,,,-9.8,,,0.3,-3.5,-9.06,-8.52,-10.47,-6.29,,,,,
CA,California,C1,2006,Dianne Feinstein,Dick Mountjoy,,59.4,35.2,,,,24.2,,,29.16,30.11,23.12,24.06,9.95,11.8,,,,,
CT,Connecticut,C1,2006,Ned Lamont,Alan Schlesinger,Joe Lieberman,39.7,9.6,49.7,,,10,,,20.07,13.64,17.33,22.37,10.36,17.47,,,,,
DE,Delaware,C1,2006,Tom Carper,Jan C. Ting,,67.1,27.4,,,,39.7,,,18.97,11.37,18.63,24.99,7.6,13.06,,,,,
FL,Florida,C1,2006,Bill Nelson,Katherine Harris,,60.3,38.1,,,,22.2,,,-3.36,-1.2,0.88,2.81,-5.01,-0.01,,,,,
HI,Hawaii,C1,2006,Daniel Akaka,Cynthia Thielen,,61.4,36.8,,,,24.6,,,29.46,32.19,42.71,45.27,8.75,18.33,,,,,
IN,Indiana,C1,2006,Richard Lugar,,Steve Osborn,,87.3,12.6,,,74.7,,,-16.07,-19.17,-10.2,1.04,-20.68,-15.64,,,,,
ME,Maine,C1,2006,Olympia Snowe,Jean Hay Bright,,20.5,74.4,,,,-53.9,,,9.07,2.96,15.29,17.33,8.99,5.12,,,,,
MD,Maryland,C1,2006,Ben Cardin,Michael Steele,,54.2,44.2,,,,10,,,33.21,26.42,26.07,25.45,12.98,16.39,,,,,
MA,Massachusetts,C1,2006,Ted Kennedy,Kenneth Chase,,69.5,30.5,,,,39,,,33.46,27.2,23.15,25.81,25.16,27.3,,,,,
MI,Michigan,C1,2006,Debbie Stabenow,Mike Bouchard,,56.9,41.3,,,,15.6,,,2.78,-0.23,9.5,16.47,3.42,5.13,,,,,
MN,Minnesota,C1,2006,Amy Klobuchar,Mark Kennedy,,58.1,37.9,,,,20.2,,,7.12,1.52,7.69,10.24,3.48,2.41,,,,,
MS,Mississippi,C1,2006,Erik Fleming,Trent Lott,,34.8,63.6,,,,-28.8,,,-16.54,-17.8,-11.5,-13.18,-19.69,-16.92,,,,,
MO,Missouri,C1,2006,Claire McCaskill,Jim Talent,,49.6,47.3,,,,2.3,,,-15.39,-18.63,-9.38,-0.14,-7.2,-3.34,,,,,
MT,Montana,C1,2006,Jon Tester,Conrad Burns,,49.2,47.3,,,,1.9,,,-16.37,-20.42,-13.65,-2.26,-20.51,-25.08,,,,,
NE,Nebraska,C1,2006,Ben Nelson,Pete Ricketts (NonInc),,63.9,36.1,,,,27.8,,,-19.05,-25.05,-21.77,-14.93,-33.22,-29,,,,,
NV,Nevada,C1,2006,Jack Carter,John Ensign,,41,55.4,,,,-14.4,,,2.39,2.42,6.68,12.5,-2.59,-3.54,,,,,
NJ,New Jersey,C1,2006,Bob Menendez,Thomas Kean Jr.,,53.4,44.3,,,,9.1,,,15.93,14.1,17.79,15.57,6.68,15.84,,,,,
NM,New Mexico,C1,2006,Jeff Bingaman,Allen McCulloch,,70.6,29.3,,,,41.3,,,10.79,8.22,10.15,15.13,-0.79,0.06,,,,,
NY,New York,C1,2006,Hillary Clinton,John Spencer,,67,31,,,,36,,,23.13,22.49,28.18,26.85,18.29,24.98,,,,,
ND,North Dakota,C1,2006,Kent Conrad,Dwight Grotberg,,68.8,29.5,,,,39.3,,,-33.34,-35.73,-19.62,-8.63,-27.36,-27.6,,,,,
OH,Ohio,C1,2006,Sherrod Brown,Mike DeWine,,56.2,43.8,,,,12.4,,,-8.03,-8.13,2.98,4.59,-2.1,-3.51,,,,,
PA,Pennsylvania,C1,2006,Bob Casey Jr.,Rick Santorum,,58.7,41.3,,,,17.4,,,1.16,-0.72,5.38,10.32,2.5,4.17,,,,,
RI,Rhode Island,C1,2006,Sheldon Whitehouse,Lincoln Chafee,,53.5,46.5,,,,7,,,20.78,15.51,27.46,27.8,20.75,29.08,,,,,
TN,Tennessee,C1,2006,Harold Ford Jr.,Bob Corker,,48,50.7,,,,-2.7,,,-23.21,-26,-20.4,-15.07,-14.27,-3.87,,,,,
TX,Texas,C1,2006,Barbara Ann Radnofsky,Kay Baily Hutchison,,36,61.7,,,,-25.7,,,-5.58,-8.99,-15.79,-11.77,-22.87,-21.32,,,,,
UT,Utah,C1,2006,Pete Ashdown,Orrin Hatch,,30.8,62.6,,,,-31.8,,,-20.48,-18.08,-47.93,-28.17,-45.54,-40.49,,,,,
VT,Vermont,C1,2006,,Richard Tarrant,Bernie Sanders,,32.3,65.4,,,33.1,,,35.42,26.41,35.6,37.01,20.14,9.93,,,,,
VA,Virigina,C1,2006,Jim Webb,George Allen,,49.6,49.2,,,,0.4,,,10.11,5.32,3.88,6.3,-8.2,-8.03,,,,,
WA,Washington,C1,2006,Maria Cantwell,Mike McGavick,,56.8,39.9,,,,16.9,,,19.2,15.71,14.87,17.17,7.18,5.58,,,,,
WV,West Virginia,C1,2006,Robert Byrd,John Raese,,64.4,33.7,,,,30.7,,,-38.93,-42.07,-26.76,-13.12,-12.86,-6.33,,,,,
WI,Wisconsin,C1,2006,Herb Kohl,Robert Lorge,,67.3,29.5,,,,37.8,,,0.63,-0.77,6.94,13.91,0.38,0.22,,,,,
WY,Wyoming,C1,2006,Dale Groutage,Craig L. Thomas,,29.9,70,,,,-40.1,,,-43.39,-46.29,-40.82,-32.24,-39.79,-40.06,,,,,
MS,Mississippi,C1,2008,Ronnie Musgrove,Roger Wicker,,45,55,,,,-10,,,-16.54,-17.8,-11.5,-13.18,-19.69,-16.92,,,,,
